Fund Name,,,,RP,PM,TER,MF,SAM,ReturnMTD,ReturnYTD,NAV,Date,AUM
Atlas Pension Islamic Fund,,,,-,-,0.72%,0.4%,-,12.14%,15.37%,436.07,2025-05-27,"1,220,000,000"
AL Habib Fixed Return Fund Plan 18,,,,-,-,0.34%,0.18%,0.12%,12.12%,11.58%,102.888,2025-05-27,"9,009,590,000"
ABL Fixed Rate Plan XIV,,,,-,-,0.59%,0.25%,-,12.12%,12.12%,10.1428,2025-05-27,"9,860,000,000"
MCB DCF Fixed Return Plan VII,,,,-,-,0.29%,0.13%,-,12.09%,11.52%,102.209,2025-05-21,"2,667,790,000"
UBL Fixed Return Plan IV (N),,,,-,-,0.28%,0.23%,-,12.08%,13.22%,103.006,2025-05-28,"4,040,380,000"
AL Habib Fixed Return Fund Plan 15,,,,-,-,0.25%,0.08%,0.05%,12.07%,13.78%,108.459,2025-05-27,"550,110,000"
AL Habib Fixed Return Fund Plan 16,,,,-,-,0.38%,0.21%,0.19%,12.07%,17.34%,112.92,2025-05-27,"9,003,750,000"
UBL Fixed Return Plan I (W),,,,-,-,0.14%,0.08%,-,12.03%,12.13%,104.189,2025-05-14,"5,021,170,000"
Alfalah Money Market Fund - II (Formerly: Faysal Money Market Fund),,,,Low,Backward,1.07%,0.26%,0.09%,12.01%,14.55%,116.699,2025-05-28,"714,150,000"
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan III),,,,-,-,0.6%,0.31%,0.09%,11.95%,10.17%,107.743,2025-05-27,"6,253,830,000"
Lakson Money Market Fund,,,,Low,Backward,1.07%,0.65%,-,11.93%,15.39%,117.241,2025-05-29,"34,175,000,000"
JS Pension Savings Fund,,,,-,Forward,0.79%,0.5%,-,11.91%,15.07%,449.142,2025-05-27,"576,280,000"
Alfalah MTS Fund (Formerly: Faysal MTS Fund),,,,-,-,0.97%,0.2%,0.4%,11.91%,12.67%,115.33,2025-05-27,"414,800,000"
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),,,,-,Forward,1.2%,0.01%,-,11.87%,14.37%,162.169,2025-05-27,"2,130,000"
UBL Fixed Return Plan II (X),,,,-,-,0.4%,0.4%,-,11.86%,11.42%,104.191,2025-05-28,"723,390,000"
ABL Pension Fund,,,,-,Forward,0.02%,1%,-,11.85%,14.57%,259.152,2025-05-27,"540,000,000"
AL Habib GOKP Pension Fund,,,,-,-,0.76%,0.23%,0.23%,11.83%,18.52%,125.876,2025-05-27,"49,060,000"
Meezan Paidaar Munafa Plan XV,,,,-,-,0.27%,0.11%,-,11.83%,11.37%,50,2025-05-23,"22,997,000,000"
NIT Money Market Fund,,,,Low,Backward,0.75%,0.5%,0.55%,11.82%,15.63%,11.1054,2025-05-29,"50,326,000,000"
Alfalah GHP Cash Fund,,,,Low,Backward,1.83%,1.23%,0.33%,11.81%,14.65%,571.402,2025-05-28,"3,902,130,000"
Pak Qatar Islamic Pension Fund,,,,-,-,2.07%,1.25%,0.75%,11.8%,15.88%,149.946,2025-05-27,"65,630,000"
HBL Pension Fund,,,,-,Forward,1.53%,1.15%,-,11.76%,15.26%,336.982,2025-05-27,"1,437,110,000"
MCB KPK Govt Employees Pension Fund,,,,-,-,1.13%,0.73%,-,11.75%,18.57%,127.021,2025-05-27,"76,710,000"
NIT Islamic Income Fund,,,,-,Forward,1.83%,1%,0.92%,11.75%,14.18%,10.8853,2025-05-27,"2,371,000,000"
Pakistan Pension Fund,,,,-,Forward,1.52%,1.15%,-,11.69%,15.32%,505.27,2025-05-27,"2,211,040,000"
NBP GoKP Pension Fund,,,,-,-,0.96%,0.35%,-,11.68%,18.93%,127.484,2025-05-27,"172,000,000"
UBL Voluntary Pension Fund KPK,,,,-,-,0.8%,0.6%,-,11.65%,18.38%,126.742,2025-05-28,"61,360,000"
Meezan Paidaar Munafa Plan XIV,,,,-,-,0.3%,0.14%,0.18%,11.64%,10.88%,51.6841,2025-05-26,"7,925,880,000"
NBP Government Securities Liquid Fund,,,,-,-,1.39%,1.1%,0.3%,11.59%,15.18%,11.703,2025-05-27,"11,312,000,000"
NBP Financial Sector Income Fund,,,,Medium,Forward,1.57%,1.21%,0.46%,11.59%,15.22%,12.1263,2025-05-27,"62,752,000,000"
ABL Cash Fund,,,,Low,Backward,1.55%,0.9%,100%,11.54%,15.11%,11.6462,2025-05-29,"69,583,000,000"
AKD Islamic Stock Fund,,,,High,Forward,7.29%,2.6%,-,11.54%,50.89%,88.7139,2025-05-27,"374,820,000"
HBL Money Market Fund,,,,Low,Backward,2.16%,1.75%,0.42%,11.52%,14.24%,116.84,2025-05-29,"45,808,000,000"
Atlas KPK Islamic Pension Fund,,,,-,-,0.93%,0.02%,-,11.52%,17.53%,125.5,2025-05-27,"46,000,000"
NBP Money Market Fund,,,,Low,Forward,1.41%,1.1%,0.34%,11.51%,15.19%,11.387,2025-05-27,"99,029,000,000"
HBL Mehfooz Munafa Fund Plan VIII,,,,-,-,0.21%,0.06%,-,11.5%,11.5%,100.851,2025-05-27,"9,742,000,000"
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan VI),,,,-,-,0.09%,0.57%,-,11.49%,11.49%,100.346,2025-05-27,-
UBL Fixed Return Plan III (W),,,,-,-,0.39%,0.31%,-,11.48%,11.03%,102.508,2025-05-15,"975,480,000"
AL Habib Cash Fund,,,,-,-,1.65%,1.24%,1.24%,11.43%,14.82%,115.507,2025-05-29,"100,121,000,000"
NIT Social Impact Fund,,,,-,-,1.63%,1.25%,1.09%,11.43%,14.93%,11.6174,2025-05-27,"4,681,000,000"
NBP Cash Plan II,,,,-,-,0.2%,0.01%,0.61%,11.41%,15.25%,10,2025-05-27,"10,135,000,000"
AL Habib Islamic Pension Fund,,,,-,-,1.44%,1.01%,1.01%,11.4%,10.47%,152.976,2025-05-27,"241,150,000"
NBP Fixed Term Munafa Plan VIII,,,,-,-,0.75%,0.53%,-,11.4%,0%,10,2025-05-27,"11,091,000,000"
AL Habib Money Market Fund,,,,-,-,1.61%,1.21%,1.21%,11.39%,14.7%,113.367,2025-05-29,"41,291,600,000"
Atlas Liquid Fund,,,,-,-,1.11%,0.85%,0.03%,11.37%,15.44%,570.027,2025-05-28,"9,980,000,000"
Atlas Money Market Fund,,,,Low,Forward,1.01%,0.75%,0.03%,11.36%,15.4%,582.418,2025-05-27,"40,100,000,000"
NBP Cash Plan I,,,,-,-,0.19%,0.01%,1.3%,11.34%,15.07%,11.4429,2025-05-27,"3,343,000,000"
NAFA Pension Fund,,,,-,Forward,1.39%,1.07%,0.5%,11.33%,15.01%,309.184,2025-05-27,"4,220,000,000"
JS Cash Fund,,,,-,-,1.33%,0.5%,0.15%,11.28%,15.05%,119.434,2025-05-29,"19,480,600,000"
JS Money Market Fund,,,,-,-,1.35%,0.5%,1.07%,11.25%,15.36%,119.714,2025-05-29,"1,184,260,000"
UBL Fixed Return Plan I (T),,,,-,-,0.29%,0.16%,-,11.23%,11.63%,105.068,2025-05-28,"2,644,280,000"
UBL Fixed Return Plan IV (O),,,,-,-,0.97%,0.92%,-,11.22%,9.6%,102.051,2025-05-28,"3,291,420,000"
Alfalah Financial Sector Opportunity Fund (Formerly: Faysal Financial Sector Opportunity Fund),,,,Medium,Forward,1.09%,1%,0.2%,11.22%,12.55%,113.56,2025-05-27,"507,810,000"
Alhamra Wada Plan (Alhamra Wada Plan XVIII),,,,-,-,0.17%,0.03%,-,11.21%,11.46%,101.915,2025-05-27,"7,288,840,000"
NBP Income Plan I,,,,-,-,0.21%,0.05%,3%,11.2%,15.11%,10.1048,2025-05-27,"454,000,000"
Alfalah GHP Money Market Fund,,,,Low,Forward,1.32%,0.96%,0.26%,11.17%,15.1%,112.489,2025-05-27,"97,005,300,000"
UBL Fixed Return Plan IV (L),,,,-,-,0.19%,0.14%,-,11.14%,11.69%,102.882,2025-05-28,"6,517,310,000"
Meezan Daily Income Fund (Meezan Munafa Plan I),,,,-,-,1.39%,0.8%,0.18%,11.12%,13.15%,56.2259,2025-05-27,"7,735,090,000"
Lakson Islamic Money Market Fund,,,,-,-,0.54%,1%,-,11.11%,13.72%,113.587,2025-05-29,"3,103,000,000"
Atlas Islamic Income Fund,,,,Medium,Forward,0.89%,0.6%,0.01%,11.11%,14.94%,581.422,2025-05-27,"3,703,000,000"
AKD Cash Fund,,,,Low,Forward,1.3%,1%,-,11.1%,15.01%,58.5739,2025-05-27,"1,851,470,000"
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan IV),,,,-,-,0.18%,0.31%,-,11.09%,11.23%,102.276,2025-05-27,"10,117,600,000"
MCB Cash Management Optimizer,,,,-,-,1.37%,0.95%,0.3%,11.08%,15.26%,116.208,2025-05-29,"108,640,000,000"
UBL Fixed Return Plan II (M),,,,-,-,0.8%,1.6%,-,11.08%,16.07%,113.98,2025-05-28,"2,489,300,000"
JS KPK Pension Fund,,,,-,-,0.24%,-,-,11.08%,9.83%,127.398,2025-05-27,"57,470,000"
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan V),,,,-,-,0.18%,0.42%,-,11.08%,10.95%,101.859,2025-05-27,"14,890,300,000"
UBL Fixed Return Plan IV (P),,,,-,-,0.19%,0.14%,-,11.04%,11.51%,102.239,2025-05-28,"1,982,310,000"
Faysal Islamic Financial Growth Plan II,,,,-,-,0.65%,2%,-,11.04%,15.23%,101.526,2025-05-27,"9,023,460,000"
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan III),,,,-,-,0.14%,1.75%,-,11.02%,11.24%,102.771,2025-05-26,"18,354,800,000"
UBL Special Savings Plan V,,,,-,-,1.99%,1.75%,-,10.99%,16.42%,105.67,2025-05-28,"360,800,000"
Meezan Paidaar Munafa Plan XVIII,,,,-,-,0.29%,0.13%,-,10.97%,11%,50.5122,2025-05-26,"21,947,800,000"
Meezan Paidaar Munafa Plan XVI,,,,-,-,0.25%,0.1%,-,10.94%,11.07%,50,2025-05-19,"26,643,500,000"
NBP Mahana Amdani Fund,,,,-,-,1.69%,1.13%,0.34%,10.93%,14.95%,11.6705,2025-05-27,"11,242,000,000"
UBL Liquidity Plus Fund,,,,-,-,1.27%,1.19%,-,10.92%,14.97%,115.218,2025-05-29,"23,884,200,000"
Alhamra Wada Plan (Alhamra Wada Plan XIX),,,,-,-,0.55%,0.36%,-,10.9%,11.15%,101.313,2025-05-27,"6,545,960,000"
AWT Islamic Money Market Fund (Formerly: AWT Money Market Fund),,,,-,-,1.26%,0.5%,-,10.85%,10.98%,121.078,2025-05-27,"1,903,480,000"
UBL Fixed Return Plan II (V),,,,-,-,0.23%,0.18%,-,10.81%,12%,105.556,2025-05-28,"837,230,000"
HBL Islamic Pension Fund,,,,-,Forward,0.98%,0.75%,-,10.78%,14.3%,293.526,2025-05-27,"962,780,000"
NBP Savings Fund,,,,-,-,1.24%,1.01%,0.1%,10.76%,15.15%,11.2543,2025-05-28,"14,483,000,000"
ABL Islamic Money Market Plan I,,,,-,-,0.76%,0.55%,-,10.75%,16.93%,11.2842,2025-05-29,"25,227,000,000"
AL Habib Islamic Cash Fund,,,,-,-,1.26%,1.02%,1.02%,10.73%,13.78%,112.532,2025-05-29,"28,356,200,000"
NIT Islamic Money Market Fund,,,,Low,Backward,1.02%,0.76%,0.57%,10.73%,14.26%,114.11,2025-05-29,"12,200,000,000"
Mahaana Islamic Cash Fund,,,,-,-,0.69%,0.35%,-,10.73%,14.13%,119.96,2025-05-28,"2,055,840,000"
JS Microfinance Sector Fund,,,,-,-,1.49%,1.25%,0.7%,10.73%,15.6%,115.984,2025-05-27,"9,597,560,000"
NIT Pension Fund,,,,Medium to High,Forward,0.85%,0.75%,0.5%,10.72%,15.19%,26.4407,2025-05-27,"393,400,000"
Lucky Islamic Money Market Fund,,,,-,-,0.12%,0.53%,-,10.69%,10.68%,101.434,2025-05-28,"55,555,800,000"
MCB Investment Savings Plan I,,,,-,-,1.85%,0.72%,-,10.69%,19.44%,115.623,2025-05-27,"20,246,700,000"
ABL Financial Sector Fund Plan I,,,,-,-,1.58%,1.25%,0.15%,10.66%,15.26%,11.3956,2025-05-27,"32,542,000,000"
HBL Financial Sector Income Fund Plan II,,,,-,-,0.4%,0.21%,-,10.65%,17.53%,100,2025-05-27,"139,710,000"
Lucky Islamic Income Fund,,,,-,-,0.08%,0.15%,-,10.65%,10.68%,100.937,2025-05-27,"1,002,000,000"
AL Habib Islamic Pension Fund,,,,-,-,1.41%,1.01%,1.01%,10.65%,14.65%,155.564,2025-05-27,"180,170,000"
AL Habib Pension Fund,,,,-,-,1.43%,1.01%,1.01%,10.64%,15.25%,163.5,2025-05-27,"334,300,000"
UBL Money Market Fund,,,,Low,Backward,1.16%,0.9%,-,10.63%,14.99%,114.688,2025-05-29,"62,010,000,000"
HBL Islamic Money Market Fund,,,,Low,Backward,1.05%,0.6%,0.04%,10.55%,14.09%,114.126,2025-05-29,"80,921,000,000"
Alfalah Islamic Money Market Fund,,,,Low,Backward,1.24%,0.56%,0.21%,10.54%,14.36%,113.311,2025-05-28,"63,469,900,000"
NBP Islamic Daily Dividend Fund,,,,-,-,1.05%,0.76%,0.47%,10.53%,14.36%,10,2025-05-28,"9,566,000,000"
Atlas Islamic Cash Fund,,,,-,-,0.67%,0.35%,0.01%,10.51%,14.18%,500.71,2025-05-27,"1,234,000,000"
Alhamra Cash Management Optimizer,,,,-,-,1.07%,0.6%,0.3%,10.46%,14.56%,113.424,2025-05-29,"36,637,500,000"
NIT KP Pension Fund,,,,-,-,1.29%,0.5%,0.5%,10.45%,17.4%,125.269,2025-05-27,"71,100,000"
Askari Cash Fund,,,,-,-,1.38%,1.5%,-,10.43%,14.3%,116.866,2025-05-29,"391,510,000"
Alfalah Financial Sector Income Fund,,,,Medium,Forward,1.27%,0.9%,0.23%,10.43%,14.66%,113.566,2025-05-27,"11,112,900,000"
UBL Cash Fund,,,,-,-,1.26%,1.19%,-,10.41%,14.81%,113.707,2025-05-29,"26,506,700,000"
NBP Islamic Money Market Fund,,,,Low,Forward,1.03%,0.76%,0.47%,10.41%,14.35%,11.4882,2025-05-28,"41,625,000,000"
Al Ameen Islamic Cash Fund,,,,-,-,0.8%,0.54%,-,10.38%,14.01%,114.07,2025-05-29,"27,771,000,000"
Alfalah Islamic Rozana Amdani Fund,,,,Low,Forward,1.65%,0.64%,0.3%,10.34%,14.12%,100,2025-05-27,"10,627,100,000"
Al Ameen Islamic Retirement Savings Fund,,,,-,-,1.55%,1%,-,10.32%,15.31%,333.899,2025-05-28,"3,987,770,000"
Atlas Islamic Money Market Fund,,,,Low,Forward,0.67%,0.45%,0.01%,10.32%,14.41%,569.641,2025-05-27,"6,162,000,000"
786 Islamic Money Market Fund,,,,-,-,2.5%,0.5%,-,10.31%,6.28%,103.733,2025-05-27,"157,010,000"
Pak Qatar Cash Plan,,,,-,-,0.89%,0.45%,0.5%,10.23%,14.51%,113.932,2025-05-28,"5,559,300,000"
Atlas Pension Islamic Fund,,,,-,-,0.65%,0.35%,-,10.21%,13.95%,462.77,2025-05-27,"1,748,000,000"
UBL Fixed Return Plan IV (G),,,,-,-,1.02%,1.6%,-,10.2%,13.75%,110.808,2025-05-28,"69,820,000"
Pakistan Cash Management Fund,,,,-,-,1.51%,0.95%,0.27%,10.14%,15.03%,50.4678,2025-05-27,"7,936,000,000"
Pak Oman Advantage Islamic Income Fund,,,,Medium,Forward,2.05%,0.7%,-,10.13%,11.17%,58.8577,2025-05-27,"106,170,000"
JS Islamic Money Market Fund (Formerly: JS Islamic Daily Dividend Fund),,,,-,-,0.64%,0.25%,1%,10.11%,14.28%,108.743,2025-05-29,"4,384,050,000"
AWT Islamic Pension Fund,,,,-,-,-,0.5%,-,10.09%,12.28%,101.682,2025-05-27,"55,180,000"
UBL Retirement Saving Fund,,,,-,-,1.49%,1.4%,-,10.04%,14.51%,389.982,2025-05-28,"2,865,750,000"
JS KPK Islamic Pension Fund,,,,-,-,0.22%,-,-,10.03%,9.37%,126.204,2025-05-27,"137,660,000"
Meezan Cash Fund,,,,Low,Forward,1.29%,1%,0.18%,9.96%,13.6%,57.5969,2025-05-27,"246,563,000,000"
Pak Oman Micro Finance Fund,,,,-,-,0.56%,0.35%,-,9.94%,15.68%,113.475,2025-05-27,"110,940,000"
AWT Islamic Pension Fund,,,,-,-,-,1.5%,-,9.94%,11.68%,101.6,2025-05-27,"50,460,000"
NBP Riba Free Savings Fund,,,,-,-,0.97%,0.72%,0.1%,9.86%,14.06%,11.6598,2025-05-27,"12,740,000,000"
AKD Opportunity Fund,,,,High,Forward,4.27%,3.4%,0.1%,9.84%,39.02%,153.354,2025-05-27,"687,440,000"
NIT Islamic Pension Fund,,,,Medium to High,Forward,0.94%,0.5%,0.5%,9.81%,14.65%,23.6816,2025-05-27,"227,000,000"
UBL Fixed Return Plan III (T),,,,-,-,0.81%,0.75%,-,9.77%,0%,106.885,2025-05-28,"63,280,000"
HBL KPK Pension Fund,,,,-,-,0.44%,-,-,9.74%,17.55%,125.489,2025-05-27,"55,890,000"
NBP Islamic Savings Fund,,,,-,-,1.17%,1.14%,0.1%,9.72%,13.93%,10.7973,2025-05-28,"13,462,000,000"
ABL GOKP Islamic Pension Fund,,,,-,-,0.12%,-,-,9.69%,11.44%,112.503,2025-05-27,"43,000,000"
AKD Islamic Daily Dividend Fund,,,,-,-,1.03%,0.25%,0.25%,9.68%,17.86%,50,2025-05-28,"222,480,000"
Al Ameen Islamic Cash Plan I,,,,-,-,0.8%,0.6%,-,9.64%,14.11%,112.992,2025-05-29,"9,248,000,000"
Alhamra Daily Dividend Fund,,,,-,-,1.72%,1.2%,0.42%,9.61%,13.16%,100,2025-05-27,"1,940,200,000"
Lakson Tactical Fund,,,,-,-,3.05%,2%,-,9.56%,34.84%,123.441,2025-05-27,"586,000,000"
NIT Islamic Pension Fund,,,,Medium to High,Forward,0.89%,0.5%,0.5%,9.54%,13.35%,23.4647,2025-05-27,"278,000,000"
Meezan Rozana Amdani Fund,,,,Low,-,1.35%,1.1%,0.19%,9.52%,13.9%,50,2025-05-27,"41,638,700,000"
Alhamra Islamic Money Market Fund,,,,Low,Backward,1.28%,0.95%,0.18%,9.44%,14.15%,99.51,2025-05-27,"4,501,290,000"
JS Islamic Income Fund,,,,Medium,Forward,1.57%,0.5%,0.5%,9.43%,13%,118.908,2025-05-27,"1,809,950,000"
ABL Islamic Cash Fund,,,,-,-,0.81%,0.55%,0.08%,9.27%,14.29%,10.0848,2025-05-29,"13,072,000,000"
ABL Islamic Pension Fund,,,,-,Forward,0.02%,1%,-,9.27%,13.48%,211.274,2025-05-27,"230,000,000"
Faysal Islamic KPK Government Pension Fund,,,,-,-,1.37%,0.6%,0.25%,9.23%,15.58%,122.371,2025-05-27,"38,190,000"
NIT KP Islamic Pension Fund,,,,-,-,1.23%,0.5%,0.5%,9.22%,15.63%,122.694,2025-05-27,"150,400,000"
JS Islamic Pension Savings Fund,,,,-,Forward,0.94%,0.5%,-,9.18%,16.85%,385.068,2025-05-27,"184,420,000"
Al Ameen Islamic Fixed Term Plan I (M),,,,-,-,0.1%,0.1%,-,9.16%,12.61%,100.027,2025-05-28,"318,290,000"
Faysal Islamic Cash Fund,,,,Low,Backward,0.99%,1.75%,0.14%,9.15%,14.47%,113.121,2025-05-28,"84,758,700,000"
Faysal Halal Amdani Fund,,,,Low,Backward,1.87%,1.75%,0.2%,9.1%,13.33%,104.407,2025-05-28,"46,430,100,000"
HBL Islamic Savings Plan I,,,,-,-,2%,1.6%,0.01%,9.1%,20.17%,112.047,2025-05-27,"7,306,000,000"
Pak Qatar Asan Munafa Plan,,,,-,-,1.79%,0.95%,0.5%,9.01%,13.38%,112.832,2025-05-28,"228,660,000"
MCB Alhamra KPK Govt Employees Pension Fund,,,,-,-,1.13%,0.74%,-,8.96%,17.34%,125.226,2025-05-27,"497,280,000"
786 Smart Fund,,,,Medium,Forward,2.18%,1.5%,-,8.67%,41.48%,94.898,2025-05-27,"1,456,910,000"
Meezan Daily Income Fund (Meezan Mahana Munafa Plan),,,,-,-,2.44%,1.5%,0.32%,8.6%,11.3%,50,2025-05-27,"2,723,910,000"
AWT Financial Sector Income Fund,,,,-,-,2.22%,1.5%,-,8.47%,14%,113.057,2025-05-27,"373,800,000"
Alfalah Stock Fund - II (Formerly: Faysal Stock Fund),,,,High,Forward,3.68%,2.16%,0.3%,8.43%,61.73%,65.3,2025-05-27,"109,680,000"
Faysal Islamic Special Income Plan III,,,,-,-,0.87%,0.01%,-,8.35%,17.3%,113.384,2025-05-28,"19,776,400,000"
Golden Arrow Stock Fund,,,,High,Forward,4.55%,3.4%,0.35%,8.33%,43.56%,27.1575,2025-05-27,"2,318,980,000"
NBP Financial Sector Fund,,,,High,Forward,3.45%,1.5%,2.05%,8.33%,48.45%,20.037,2025-05-27,"264,000,000"
Al Ameen Voluntary Pension Fund KPK,,,,-,-,0.98%,0.6%,-,8.31%,14.91%,121.692,2025-05-28,"87,570,000"
Pak Qatar Daily Dividend Plan,,,,-,-,1.35%,0.45%,0.5%,8.22%,14.03%,100,2025-05-28,"1,679,160,000"
JS Islamic Pension Savings Fund,,,,-,Forward,1.93%,1%,-,8.1%,12.2%,399.021,2025-05-27,"63,980,000"
Al Ameen Islamic Energy Fund,,,,-,Forward,4.35%,3%,-,7.95%,71.22%,275.752,2025-05-28,"3,693,580,000"
NBP Stock Fund,,,,High,Forward,5%,3.99%,1.3%,7.94%,58.26%,33.8891,2025-05-27,"34,520,000,000"
Pak Oman Islamic Asset Allocation Fund,,,,High,Forward,3.99%,2%,0.4%,7.9%,34.39%,52.7403,2025-05-27,"153,760,000"
NAFA Pension Fund,,,,-,Forward,2.17%,1.5%,-,7.78%,64.43%,965.803,2025-05-27,"1,717,000,000"
Pak Oman Income Fund,,,,Medium,Forward,1.85%,1.1%,0.4%,7.73%,12.46%,12.1162,2025-05-27,"264,110,000"
Meezan Pakistan ETF,,,,-,-,1.71%,0.5%,-,7.71%,29.06%,17.45,2025-05-27,"271,000,000"
UBL Retirement Saving Fund,,,,-,-,1.77%,1.5%,-,7.67%,69.72%,2405.23,2025-05-28,"2,599,840,000"
NBP Sarmaya Izafa Fund,,,,-,-,4.6%,3.33%,0.63%,7.64%,52.52%,33.4842,2025-05-27,"717,000,000"
Pak-Qatar Asset Allocation Plan III (PQAAP IIIA),,,,-,-,0.92%,0.5%,-,7.62%,43.82%,143.816,2025-05-27,"8,085,070,000"
NAFA Islamic Pension Fund,,,,-,Forward,2.18%,1.5%,1.8%,7.52%,58.18%,876.812,2025-05-27,"2,390,000,000"
UBL Financial Sector Fund,,,,High,Forward,3.79%,3%,-,7.43%,56.42%,236.302,2025-05-28,"1,705,580,000"
ABL Islamic Pension Fund,,,,-,Forward,0.03%,1.5%,-,7.4%,50.53%,452.624,2025-05-27,"166,000,000"
Pak Oman Daily Dividend Fund,,,,-,-,1.46%,0.1%,-,7.36%,10.98%,10,2025-05-29,"70,040,000"
Pak Oman Advantage Asset Allocation Fund,,,,High,Forward,4.32%,2%,0.4%,7.35%,37.38%,54.9769,2025-05-27,"171,690,000"
Meezan Daily Income Fund (Meezan Sehl Account Plan) (MSHP),,,,-,-,1.47%,1.5%,0.2%,7.33%,10.63%,55.2287,2025-05-28,"153,010,000"
HBL Islamic Pension Fund,,,,-,Forward,2.09%,1%,-,7.28%,62.25%,913.202,2025-05-27,"301,310,000"
HBL Islamic Asset Allocation Fund,,,,Medium,Forward,4.88%,3%,0.5%,7.26%,48.89%,254.829,2025-05-27,"517,000,000"
ABL Pension Fund,,,,-,Forward,0.02%,1.5%,3%,7.17%,57.44%,449.746,2025-05-27,"209,000,000"
NBP Islamic Sarmaya Izafa Fund,,,,-,-,4.4%,3.33%,0.63%,7.16%,42.52%,29.347,2025-05-27,"1,512,000,000"
